    Finished dev [unoptimized + debuginfo] target(s) in 0.04s
     Running `/Users/ishida/myfiles/products/proctrack-rs/target/debug/examples/funclog_deep`
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:11)] f0
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_enter(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:31)] f4
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:26)] f3
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:21)] f2
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:16)] f1
[DEBUG:func_exit(proctrack/examples/funclog_deep.rs:11)] f0
